BPS,EVT,ACRES
 Floodplain Systems,Agricultural,226672.878
 Floodplain Systems,Conifer,1375.512
 Floodplain Systems,Conifer-Hardwood,6469.968
 Floodplain Systems,Developed,30329.196
 Floodplain Systems,Exotic Herbaceous,25345.518
 Floodplain Systems,Exotic Tree-Shrub,900.654
 Floodplain Systems,Grassland,2705.736
 Floodplain Systems,Hardwood,42766.746
 Floodplain Systems,Riparian,281372.124
Central Tallgrass Prairie,Agricultural,2467547.982
Central Tallgrass Prairie,Conifer,4050.168
Central Tallgrass Prairie,Conifer-Hardwood,32033.49
Central Tallgrass Prairie,Developed,246878.208
Central Tallgrass Prairie,Exotic Herbaceous,75151.218
Central Tallgrass Prairie,Exotic Tree-Shrub,2162.058
Central Tallgrass Prairie,Grassland,2847.816
Central Tallgrass Prairie,Hardwood,398422.956
Central Tallgrass Prairie,Riparian,19723.59
Floodplain Systems,Agricultural,138537.99
Floodplain Systems,Conifer,44.178
Floodplain Systems,Conifer-Hardwood,5438.334
Floodplain Systems,Developed,16640.232
Floodplain Systems,Exotic Herbaceous,10416.906
Floodplain Systems,Exotic Tree-Shrub,465.09
Floodplain Systems,Grassland,433.566
Floodplain Systems,Hardwood,77861.838
Floodplain Systems,Riparian,4599.174
 Dry-Mesic Oak Forest and Woodland,Agricultural,2325985.686
 Dry-Mesic Oak Forest and Woodland,Conifer,2743.254
 Dry-Mesic Oak Forest and Woodland,Conifer-Hardwood,30706.152
 Dry-Mesic Oak Forest and Woodland,Developed,256924.152
 Dry-Mesic Oak Forest and Woodland,Exotic Herbaceous,78979.386
 Dry-Mesic Oak Forest and Woodland,Exotic Tree-Shrub,2787.21
 Dry-Mesic Oak Forest and Woodland,Grassland,3510.486
 Dry-Mesic Oak Forest and Woodland,Hardwood,555311.022
 Dry-Mesic Oak Forest and Woodland,Riparian,17834.592
Maple-Basswood Forest,Agricultural,748736.958
Maple-Basswood Forest,Conifer,2845.152
Maple-Basswood Forest,Conifer-Hardwood,29231.406
Maple-Basswood Forest,Developed,104195.7
Maple-Basswood Forest,Exotic Herbaceous,25035.606
Maple-Basswood Forest,Exotic Tree-Shrub,1403.262
Maple-Basswood Forest,Grassland,1004.106
Maple-Basswood Forest,Hardwood,284669.712
Maple-Basswood Forest,Riparian,13017.636
Oak Savanna,Agricultural,2421802.44
Oak Savanna,Conifer,29796.396
Oak Savanna,Conifer-Hardwood,134050.038
Oak Savanna,Developed,420489.312
Oak Savanna,Exotic Herbaceous,84115.8
Oak Savanna,Exotic Tree-Shrub,5548.89
Oak Savanna,Grassland,3639.246
Oak Savanna,Hardwood,1312812.096
Oak Savanna,Riparian,51720.45
Sand and Gravel Tallgrass Prairie,Agricultural,236667.762
Sand and Gravel Tallgrass Prairie,Conifer,7406.808
Sand and Gravel Tallgrass Prairie,Conifer-Hardwood,11371.062
Sand and Gravel Tallgrass Prairie,Developed,62864.628
Sand and Gravel Tallgrass Prairie,Exotic Herbaceous,11167.266
Sand and Gravel Tallgrass Prairie,Exotic Tree-Shrub,814.74
Sand and Gravel Tallgrass Prairie,Grassland,591.186
Sand and Gravel Tallgrass Prairie,Hardwood,105240.432
Sand and Gravel Tallgrass Prairie,Riparian,5756.904
Oak Barrens,Agricultural,102161.736
Oak Barrens,Conifer,17701.614
Oak Barrens,Conifer-Hardwood,16499.706
Oak Barrens,Developed,38110.296
Oak Barrens,Exotic Herbaceous,11518.248
Oak Barrens,Exotic Tree-Shrub,881.118
Oak Barrens,Grassland,1057.386
Oak Barrens,Hardwood,87745.722
Oak Barrens,Riparian,9807.738
Northern Tallgrass Prairie,Agricultural,147515.67
Northern Tallgrass Prairie,Conifer,150.738
Northern Tallgrass Prairie,Conifer-Hardwood,2450.658
Northern Tallgrass Prairie,Developed,34634.22
Northern Tallgrass Prairie,Exotic Herbaceous,6157.836
Northern Tallgrass Prairie,Exotic Tree-Shrub,255.522
Northern Tallgrass Prairie,Grassland,415.14
Northern Tallgrass Prairie,Hardwood,20481.276
Northern Tallgrass Prairie,Riparian,1647.906
Paleozoic Plateau Bluff and Talus,Agricultural,630166.758
Paleozoic Plateau Bluff and Talus,Conifer,5926.734
Paleozoic Plateau Bluff and Talus,Conifer-Hardwood,27735.57
Paleozoic Plateau Bluff and Talus,Developed,79031.556
Paleozoic Plateau Bluff and Talus,Exotic Herbaceous,25548.648
Paleozoic Plateau Bluff and Talus,Exotic Tree-Shrub,1645.686
Paleozoic Plateau Bluff and Talus,Grassland,1404.816
Paleozoic Plateau Bluff and Talus,Hardwood,678807.402
Paleozoic Plateau Bluff and Talus,Riparian,1298.7
